,row,row_name,column,type,x_coord,y_coord,radius,halo,spot_intensity,norm_intensity,note,RT
162,10,J,3,Control,303,1019,24,,0.5847696708644329,1.0262143835920479,Initial Detection,
163,10,J,4,Control,411,1019,24,,0.5863194467278245,1.0289340907889093,Initial Detection,
164,10,J,5,Control,519,1019,23,,0.5872412276008037,1.0305517273345477,Initial Detection,
165,10,J,6,Control,624,1019,24,,0.5901138767413057,1.0355929495693443,Initial Detection,
166,10,J,7,Control,730,1018,24,,0.5822115542695556,1.0217251356447528,Initial Detection,
167,10,J,8,Control,835,1018,24,,0.5737393000800094,1.0068571465133946,Initial Detection,
168,10,J,9,Control,942,1018,24,,0.5656791503633314,0.9927123609930835,Initial Detection,
169,10,J,10,Control,1049,1018,24,,0.5606023739848089,0.9838031079974234,Initial Detection,
170,10,J,11,Control,1153,1016,23,,0.5561635691268622,0.9760134335013956,Initial Detection,
171,10,J,12,Control,1258,1010,20,,0.5511741081974958,0.96725741069926,Initial Detection,
172,10,J,13,Control,1362,1014,24,,0.5508981904667959,0.9667732016883622,Initial Detection,
173,10,J,14,Control,1469,1014,26,,0.5524261103208471,0.969454553696385,Initial Detection,
174,10,J,15,Control,1577,1013,25,,0.5524482023618309,0.9694933230979974,Initial Detection,
175,10,J,16,Control,1684,1013,24,,0.5558609805017589,0.9754824196426686,Initial Detection,
176,10,J,17,Control,1790,1012,24,,0.5600412104472867,0.9828183201015303,Initial Detection,
177,10,J,18,Control,1896,1013,24,,0.5622683282368284,0.9867266970633567,Initial Detection,
178,10,J,19,Control,2005,1012,24,,0.5713017459638969,1.0025794740906082,Initial Detection,
179,10,J,20,Control,2110,1010,23,,0.5847441705608865,1.0261696330182937,Initial Detection,
180,11,K,1,Sample,92,1142,22,,0.574290787035237,1.0078249529404641,Initial Detection,
181,11,K,2,Sample,194,1142,23,,0.5802566023377208,1.018294383518511,Initial Detection,
182,11,K,3,Sample,303,1141,23,,0.5823517521016895,1.0219711693210063,Initial Detection,
183,11,K,4,Sample,410,1141,23,,0.585050951854362,1.026708004605719,Initial Detection,
184,11,K,5,Sample,519,1141,23,,0.5894481503941782,1.0344246640254848,Initial Detection,
185,11,K,6,Sample,624,1141,24,,0.5856903297931804,1.0278300512337477,Initial Detection,
186,11,K,7,Sample,730,1139,25,,0.5778727359052842,1.0141109278035243,Initial Detection,
187,11,K,8,Sample,836,1140,24,,0.5743333442935585,1.007899636825063,Initial Detection,
188,11,K,9,Sample,939,1140,23,,0.5668795110524499,0.9948188782528636,Initial Detection,
189,11,K,10,Sample,1049,1138,24,,0.5599403763741381,0.9826413660264868,Initial Detection,
190,11,K,11,Sample,1155,1139,25,,0.553165439282359,0.97075200473106,Initial Detection,
191,11,K,12,Sample,1258,1133,20,,0.5298779431451296,0.9298846946010015,Initial Detection,
192,11,K,13,Sample,1363,1139,22,,0.5449606676775138,0.9563534217427647,Initial Detection,
193,11,K,14,Sample,1475,1136,21,,0.5462352654721494,0.9585902179641149,Initial Detection,
194,11,K,15,Sample,1579,1134,25,,0.5500338414603347,0.9652563525303635,Initial Detection,
195,11,K,16,Sample,1683,1136,24,,0.5536448229375595,0.9715932768194337,Initial Detection,
196,11,K,17,Sample,1790,1135,25,,0.5536826580194159,0.9716596737396913,Initial Detection,
197,11,K,18,Sample,1899,1133,23,,0.556384737036112,0.9764015618551211,Initial Detection,
198,11,K,19,Sample,2005,1132,25,,0.566695962259195,0.9944967678201343,Initial Detection,
199,11,K,20,Sample,2112,1132,24,,0.5809292079045144,1.019474741429528,Initial Detection,
200,12,L,1,Sample,91,1264,24,,0.5754863599995614,1.0099230682049063,Initial Detection,
201,12,L,2,Sample,198,1264,23,,0.5836002806216481,1.0241622164791333,Initial Detection,
202,12,L,3,Sample,304,1263,24,,0.5834654040487071,1.0239255210996394,Initial Detection,
203,12,L,4,Sample,411,1263,24,,0.5875031510647858,1.0310113777568095,Initial Detection,
204,12,L,5,Sample,519,1263,24,,0.5874001249465687,1.0308305768540476,Initial Detection,
205,12,L,6,Sample,624,1263,24,,0.584966954920593,1.0265605980866979,Initial Detection,
206,12,L,7,Sample,728,1263,23,,0.5843922044257363,1.0255519663908597,Initial Detection,
207,12,L,8,Sample,835,1262,24,,0.575547737261478,1.01003077938102,Initial Detection,
208,12,L,9,Sample,941,1262,23,,0.5677189978477745,0.9962920966277566,Initial Detection,
209,12,L,10,Sample,1051,1261,24,,0.5585418516204692,0.9801870899421903,Initial Detection,
210,12,L,11,Sample,1156,1262,24,,0.5526057935751157,0.9697698804809437,Initial Detection,
211,12,L,12,Sample,1258,1261,24,,0.5284143841997391,0.9273162897814179,Initial Detection,
212,12,L,13,Sample,1367,1260,21,,0.548681590970939,0.9628832833176837,Initial Detection,
213,12,L,14,Sample,1469,1258,24,,0.551198500641173,0.9673002170857737,Initial Detection,
214,12,L,15,Sample,1576,1258,24,,0.5479652341652144,0.9616261462012323,Initial Detection,
215,12,L,16,Sample,1684,1257,24,,0.5505365030305023,0.9661384751148373,Initial Detection,
216,12,L,17,Sample,1790,1256,23,,0.5519280847572502,0.9685805668563969,Initial Detection,
217,12,L,18,Sample,1899,1257,25,,0.5530159307411784,0.9704896316582525,Initial Detection,
218,12,L,19,Sample,2008,1256,23,,0.5613954981628794,0.985194964449738,Initial Detection,
219,12,L,20,Sample,2113,1254,23,,0.5732577081772671,1.0060119991635244,Initial Detection,
220,13,M,1,Sample,91,1387,23,,0.5972032961152925,1.0480341969448226,Initial Detection,
221,13,M,2,Sample,194,1384,21,,0.6107277388676434,1.0717682898262355,Initial Detection,
222,13,M,3,Sample,301,1384,21,,0.6127357882524813,1.0752922228623618,Initial Detection,
223,13,M,4,Sample,409,1384,22,,0.6157173774995788,1.0805246244792441,Initial Detection,
224,13,M,5,Sample,518,1383,23,,0.6143759141012377,1.0781704855711765,Initial Detection,
225,13,M,6,Sample,625,1384,24,,0.6005085544558795,1.0538346066096806,Initial Detection,
226,13,M,7,Sample,729,1385,23,,0.5939262060190965,1.0422832198326342,Initial Detection,
227,13,M,8,Sample,837,1386,24,,0.5754315588728502,1.009826897511948,Initial Detection,
228,13,M,9,Sample,942,1384,24,,0.5660123412137352,0.99329707880627,Initial Detection,
229,13,M,10,Sample,1052,1384,24,,0.5606812876072731,0.9839415937952836,Initial Detection,
230,13,M,11,Sample,1156,1380,21,,0.5530127902146978,0.9704841203371171,Initial Detection,
231,13,M,12,Sample,1256,1382,25,,0.5303047751815821,0.9306337436659744,Backfilled,
232,13,M,13,Sample,1362,1382,24,,0.5499534190422953,0.9651152189417604,Initial Detection,
233,13,M,14,Sample,1469,1382,24,,0.5500016440338013,0.9651998491515639,Initial Detection,
234,13,M,15,Sample,1577,1380,24,,0.5494799373075109,0.9642843041546004,Initial Detection,
235,13,M,16,Sample,1684,1380,24,,0.5505518473459814,0.9661654029088657,Initial Detection,
236,13,M,17,Sample,1791,1379,23,,0.5503965564394344,0.965892882342428,Initial Detection,
237,13,M,18,Sample,1898,1377,26,,0.5543320410193475,0.9727992782851953,Initial Detection,
238,13,M,19,Sample,2006,1380,26,,0.5613235526548218,0.9850687070207328,Initial Detection,
239,13,M,20,Sample,2113,1376,23,,0.5734455819926513,1.0063416995930328,Initial Detection,
240,14,N,1,Sample,93,1510,20,63.0,0.6261721395385463,1.098871723715018,Initial Detection,
241,14,N,2,Sample,198,1508,21,70.0,0.6082012059754507,1.067334468231566,Initial Detection,
242,14,N,3,Sample,302,1508,21,71.0,0.5933427863475557,1.0412593745676757,Initial Detection,
243,14,N,4,Sample,411,1508,22,69.0,0.5950779518681232,1.044304422735935,Initial Detection,
244,14,N,5,Sample,520,1508,20,61.0,0.6116135128750295,1.0733227377948655,Initial Detection,
245,14,N,6,Sample,625,1506,25,49.0,0.6394722752573465,1.1222121793822601,Backfilled,
246,14,N,7,Sample,731,1506,25,,0.6591003222515178,1.1566575091434013,Backfilled,
247,14,N,8,Sample,833,1505,29,,0.6681142154989624,1.1724760225916395,Initial Detection,
248,14,N,9,Sample,943,1507,26,,0.6659898288381261,1.1687479288544271,Initial Detection,
249,14,N,10,Sample,1052,1506,24,,0.6338188713159941,1.112291000617473,Initial Detection,
250,14,N,11,Sample,1158,1506,23,,0.5962615488888094,1.046381521374121,Initial Detection,
251,14,N,12,Sample,1257,1504,24,,0.5465930139523668,0.9592180320495557,Initial Detection,
252,14,N,13,Sample,1358,1504,20,,0.5549318844003464,0.97385194557653,Initial Detection,
253,14,N,14,Sample,1471,1503,24,,0.5570753734696784,0.9776135621986253,Initial Detection,
