,row_letter,row,column,x_coord,y_coord,radius,hough_peak_int,min_griddist,note,halo_rad,x+y,x-y,spot_intensity,RT
173,I,9,14,395,1007,24,0.3749999999999996,3.280422164937218,kept,,1402,-612,0.8185936095200574,865
174,I,9,15,497,1010,20,0.4250000000000005,5.188236796175694,kept,,1507,-513,0.7717247022456587,870
175,I,9,16,592,1006,21,0.5078125,1.912371495981409,kept,,1598,-414,0.6907233990968875,875
176,I,9,17,691,1008,21,0.4375,4.721167739633027,kept,,1699,-317,0.5645280884120778,880
177,I,9,18,797,1003,23,0.367647058823529,2.1064490082626817,kept,,1800,-206,0.4809083654069562,885
178,I,9,19,904,1002,20,0.3166666666666668,4.4769803515841256,kept,,1906,-98,0.4303845804164015,890
179,I,9,20,1002,1001,24,0.3611111111111107,4.0118227438130685,kept,,2003,1,0.4663151195563233,895
180,J,10,20,1006,1114,25,0.4236111111111105,7.362880154210381,kept,,2120,-108,0.4782394359083149,900
181,J,10,19,900,1118,20,0.5166666666666673,4.037180115325896,kept,,2018,-218,0.4362335969936661,905
182,J,10,18,799,1120,21,0.453125,1.212649455951949,kept,,1919,-321,0.4483579315291289,910
183,J,10,17,700,1119,22,0.40625,3.8842256999992064,kept,,1819,-419,0.4566314109363478,915
184,J,10,16,592,1121,22,0.3515625,3.654868737822881,kept,,1713,-529,0.4787000838460062,920
185,J,10,15,497,1123,22,0.5390625,2.099886653635156,kept,,1620,-626,0.5162388499964643,925
186,J,10,14,397,1121,21,0.328125,2.6250124412168816,kept,,1518,-724,0.5330888666646462,930
187,J,10,13,293,1122,23,0.5294117647058814,3.745291712437546,kept,,1415,-829,0.5342586699800992,935
188,J,10,12,193,1119,24,0.4097222222222217,2.2360679774997645,kept,,1312,-926,0.5326807487549373,940
189,J,10,11,90,1122,22,0.390625,1.414213562373145,kept,,1212,-1032,0.5507308745239466,945
190,J,10,10,992,1141,22,0.3515625,2.3291737536750228,kept,,2133,-149,0.5665343314038649,950
191,J,10,9,889,1134,22,0.4765625,4.345893999372746,kept,,2023,-245,0.5614853875604853,955
192,J,10,8,787,1131,21,0.4453125,6.771783272483239,kept,,1918,-344,0.5510622177773736,960
193,J,10,7,688,1127,23,0.3970588235294112,2.7403068483605595,kept,,1815,-439,0.5310139305593436,965
194,J,10,6,586,1128,24,0.4513888888888882,5.344414589051367,kept,,1714,-542,0.5187582709539251,970
195,J,10,5,485,1123,23,0.4705882352941168,2.498955076939541,kept,,1608,-638,0.5802103221504984,975
196,J,10,4,388,1117,20,0.5166666666666673,2.3019988779310534,kept,,1505,-729,0.4773767312179894,980
197,J,10,3,286,1118,21,0.3828125,2.388705346413744,kept,,1404,-832,0.4645533432332231,985
198,J,10,2,185,1114,22,0.5390625,1.945442959651594,kept,,1299,-929,0.4639815740824923,990
199,J,10,1,82,1112,21,0.34375,3.790146753893411,kept,,1194,-1030,0.4504692345768807,995
200,K,11,1,80,1225,22,0.40625,2.930770612356917,kept,,1305,-1145,0.4264468487034175,1000
